dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
RAS,HYD,0.854152,0.8514,0.8342,0.90171,0.943506,0.981518,0.99373,1.030882,1.051092,1.260674,1.177942,1.30118,1.105874,1.119634,1.087384,1.087384,1.11155,1.33386,1.262652,1.106218,1.121956,1.112324,1.128406,1.148272,1.188692,1.16487,1.1051,1.1517335,0.1517335,0.9524258,0.90517256,0.853233072,0.802859686,0.733084924,0.849355208,0.82874109,0.813454796,0.805499141,0.806027032,0.820615453,0.814867502,0.812092785,0.811820383,0.813084631,0.814496151,0.81327229,0.812953248,0.813125341,0.813386332,0.813446672,0.813236777,0.813229674,0.813284959,0.813316883,0.813302993,0.813274257,0.813281753,0.813292169,0.813293611,0.813288957,0.81328615,0.813288528,0.813289883,0.813289426,0.813288589,0.813288515,0.813288988,0.81328908,0.813288919,0.813288818,0.813288864,0.813288934,0.813288923,0.813288892,0.813288886,0.8132889,0.813288907,0.813288902,0.813288897,0.813288898,0.813288901,0.813288901,0.8132889,0.813288899,0.8132889,0.8132889,0.8132889,0.8132889,0.8132889,0.8132889,0.8132889
RAS,BMSWAS,1.0574,1.1211,1.1369,1.1649,1.2374,1.2082,1.2324,1.2558,1.2777,1.3007,1.3254,1.3505,1.3763,1.4027,1.4293,1.4557,1.4819,1.5081,1.5349,1.5636,1.5948,1.6287,1.665,1.7028,1.7408,1.7781,1.8143,1.8496,0.8496,1.60648,1.579616,1.5399192,1.48504304,1.412131648,1.524637978,1.508269573,1.494000288,1.484816505,1.484771198,1.499299108,1.494231335,1.491423687,1.490908367,1.492126739,1.493597847,1.492457595,1.492102847,1.492238679,1.492504741,1.492580342,1.492376841,1.49236069,1.492412259,1.492446974,1.492435421,1.492406437,1.492412356,1.492422689,1.492424776,1.492420336,1.492417319,1.492419495,1.492420923,1.49242057,1.492419729,1.492419607,1.492420065,1.492420179,1.49242003,1.492419922,1.49241996,1.492420031,1.492420024,1.492419993,1.492419986,1.492419999,1.492420007,1.492420002,1.492419997,1.492419998,1.492420001,1.492420001,1.49242,1.492419999,1.49242,1.49242,1.49242,1.49242,1.49242,1.49242,1.49242
RAS,WND,0,0,0,0,0,0,0,0,0,0.002064,0.011782,0.019006,0.017544,0.031648,0.044978,0.047472,0.052976,0.071466,0.078518,0.097438,0.128828,0.131064,0.10836,0.114552,0.124184,0.176988,0.22102,0.22102,0.185803,0.20120775,0.207262688,0.203823359,0.199524199,0.202954499,0.203391186,0.202423311,0.202073299,0.202710574,0.202649592,0.202464194,0.202474415,0.202574694,0.202540724,0.202513507,0.202525835,0.20253869,0.202529689,0.20252693,0.202530286,0.202531399,0.202529576,0.202529547,0.202530202,0.202530181,0.202529877,0.202529952,0.202530053,0.202530015,0.202529974,0.202529999,0.20253001,0.20253,0.202529996,0.202530001,0.202530002,0.202529999,0.202529999,0.20253,0.20253,0.20253,0.20253,0.20253,0.20253,0.20253,0.20253,0.20253,0.20253,0.20253,0.20253,0.20253,0.20253,0.20253,0.20253,0.20253,0.20253,0.20253,0.20253,0.20253,0.20253,0.20253,0.20253
RAS,SOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017716,0.019178,0.020382,0.009804,0.020984,0.014448,0.01806,0.01806,0.017888,0.017114,0.0177805,0.017710625,0.017623281,0.017557102,0.017667877,0.017639721,0.017621995,0.017621674,0.017637817,0.017630302,0.017627947,0.017629435,0.017631375,0.017629765,0.01762963,0.017630051,0.017630205,0.017629913,0.01762995,0.01763003,0.017630024,0.017629979,0.017629996,0.017630007,0.017630002,0.017629996,0.01763,0.017630001,0.01763,0.017629999,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763,0.01763
RAS,GEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,LGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,HCL,0,0,0,0,0,0,0,0,0,0.024,0.0357,0.0228,0.0228,0.0228,0.0203,0.0154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,CRO,46.227,46.1447,46.6029,48.2874,47.241,47.3334,45.8013,44.4967,43.6494,42.5155,36.1076,35.369,35.2207,36.1554,33.8968,32.7589,32.4947,33.4396,35.4188,34.5308,35.2308,34.7127,35.0296,35.0398,35.7114,35.114,32.2367,32.1534,32.1534,32.474934,32.79968334,33.12768017,33.45895698,33.79354654,34.13148201,34.47279683,34.8175248,35.16570005,35.51735705,35.87253062,36.23125592,36.59356848,36.95950417,37.32909921,37.7023902,38.0794141,38.46020824,38.84481033,39.23325843,39.62559101,40.02184692,40.42206539,40.82628605,41.23454891,41.6468944,42.06336334,42.48399698,42.90883694,43.33792531,43.77130457,44.20901761,43.20901761,42.20901761,41.20901761,40.20901761,39.20901761,38.20901761,37.20901761,36.20901761,35.20901761,34.20901761,33.20901761,32.20901761,31.20901761,30.20901761,29.20901761,28.20901761,27.20901761,26.20901761,25.20901761,24.20901761,23.20901761,22.20901761,21.20901761,20.20901761,19.20901761,18.20901761,17.20901761,16.20901761,15.20901761,14.20901761
*MAR,GSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*MAR,GDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
