dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
MAR,HCL,0.412601,0.408801,0.427701,0.396901,0.406001,0.404301,0.304601,0.214001,0.331701,0.390501,0.297501,0.294901,0.367401,0.416601,0.521001,0.436501,0.408901,0.487001,0.486501,0.300201,0.264201,0.228001,0.220301,0.156501,0.106901,0.109401,0.000001,0.169901,0.108541,0.098949,0.0973586,0.09495012,0.113939944,0.102747733,0.101589079,0.102117095,0.103068794,0.104692529,0.102843046,0.102862109,0.103116715,0.103316639,0.103366207,0.103100943,0.103152523,0.103210605,0.103229383,0.103211932,0.103181077,0.103197104,0.103206021,0.103205104,0.103200248,0.103197911,0.103201277,0.103202112,0.10320133,0.103200576,0.103200641,0.103201187,0.103201169,0.103200981,0.103200911,0.103200978,0.103201045,0.103201017,0.103200986,0.103200987,0.103201003,0.103201008,0.103201,0.103200997,0.103200999,0.103201001,0.103201001,0.103201,0.103200999,0.103201,0.103201,0.103201,0.103201,0.103201,0.103201,0.103201,0.103201,0.103201,0.103201,0.103201,0.103201,0.103201,0.103201
MAR,CRO,21.2414,21.3164,21.4798,21.2474,19.995,20.5885,19.5629,20.7407,19.4377,21.2901,20.752,21.698,21.3779,21.3415,18.8764,19.1378,19.6516,20.4577,23.0418,24.5652,28.8414,27.5063,25.1332,25.5815,32.9138,31.8081,31.6806,30.7357,30.54394,31.536428,31.2609536,31.15152432,31.04570918,31.10771102,31.22046522,31.15727267,31.13653648,31.13353892,31.15110486,31.15978363,31.14764731,31.14572224,31.14755939,31.15036349,31.15021521,31.14830153,31.14843237,31.1489744,31.1492574,31.14903618,31.14880038,31.14890015,31.1489937,31.14899756,31.14894559,31.14892748,31.1489529,31.14896345,31.1489574,31.14894936,31.14895012,31.14895464,31.14895499,31.1489533,31.14895248,31.14895311,31.14895371,31.14895352,31.14895322,31.14895321,31.14895335,31.1489534,31.14895334,31.1489533,31.14895332,31.14895334,31.14895334,31.14895333,31.14895333,31.14895333,31.14895334,31.14895333,31.14895333,31.14895333,31.14895333,31.14895333,31.14895333,31.14895333,31.14895333,31.14895333,31.14895333
MAR,GSL,0.0032,0.0364,0.1819,-0.1594,-0.7415,-0.52,-0.3349,-0.0278,-0.1113,-0.5243,-0.2183,-0.2054,-0.1241,-0.0781,-0.0524,-0.4066,-0.6441,-0.0428,-0.6666,-0.0824,0.031,0.4879,1.223,1.6296,1.193,1.7441,1.7719,1.712,1.61012,1.606224,1.6888688,1.67782256,1.659007072,1.648408486,1.656066184,1.66603462,1.661467784,1.658196829,1.658034781,1.65996004,1.660738811,1.659679649,1.659322022,1.659547061,1.659849516,1.659827412,1.659645132,1.659638229,1.65970147,1.659732352,1.659708919,1.65968522,1.659693238,1.65970424,1.659704794,1.659699282,1.659697355,1.659699782,1.65970109,1.65970046,1.659699594,1.659699656,1.659700116,1.659700183,1.659700002,1.65969991,1.659699974,1.659700037,1.659700021,1.659699989,1.659699986,1.659700002,1.659700007,1.659700001,1.659699997,1.659699999,1.659700001,1.659700001,1.6597,1.659699999,1.6597,1.6597,1.6597,1.6597,1.6597,1.6597,1.6597,1.6597,1.6597,1.6597,1.6597
MAR,GDO,-4.529152063,-4.329654514,-4.488813986,-4.25655555,-3.547195701,-3.856681092,-3.228584391,-3.596691177,-3.01383293,-3.145767897,-2.379928783,-2.598587407,-1.647821526,-1.480335287,-0.469617756,0.071801,0.169801,0.337201,-0.350899,0.432501,0.371601,1.217301,2.544701,2.834101,1.011901,1.907801,1.529601,1.655301,1.787741,1.578469,1.6917826,1.64857892,1.672374504,1.675789205,1.653398846,1.668384815,1.663705258,1.666730525,1.66560173,1.663564235,1.665597313,1.665039812,1.665306723,1.665021962,1.664906009,1.665174364,1.665089774,1.665099766,1.665058375,1.665065658,1.665097587,1.665082232,1.665080724,1.665076915,1.665080623,1.665083616,1.665080822,1.66508054,1.665080503,1.665081221,1.665081341,1.665080885,1.665080898,1.66508097,1.665081063,1.665081031,1.66508097,1.665080986,1.665081004,1.665081011,1.665081,1.665080994,1.665080999,1.665081002,1.665081001,1.665080999,1.665080999,1.665081,1.665081,1.665081,1.665081,1.665081,1.665081,1.665081,1.665081,1.665081,1.665081,1.665081,1.665081,1.665081,1.665081
MAR,RFO,-5.060599,-4.917099,-5.010599,-4.932999,-4.543099,-4.779699,-4.497299,-5.095599,-4.635399,-5.228699,-5.067299,-5.328599,-5.356299,-5.619699,-5.016499,-4.397799,-4.784999,-4.947099,-5.350699,-4.934699,-5.070299,-5.236799,-4.492999,-4.745999,-5.988299,-6.019399,-6.309999,-5.867799,-5.786299,-5.994359,-5.995571,-5.9908054,-5.92696668,-5.938800216,-5.969300459,-5.964288751,-5.958032301,-5.951477681,-5.956379882,-5.959895815,-5.958014886,-5.956760113,-5.956505675,-5.957511274,-5.957737553,-5.9573059,-5.957164103,-5.957244901,-5.957392746,-5.957369041,-5.957295338,-5.957293226,-5.957319051,-5.95733388,-5.957322107,-5.957312721,-5.957316197,-5.957320791,-5.957321139,-5.957318591,-5.957317888,-5.957318921,-5.957319466,-5.957319201,-5.957318813,-5.957318858,-5.957319052,-5.957319078,-5.957319,-5.95731896,-5.95731899,-5.957319016,-5.957319009,-5.957318995,-5.957318994,-5.957319001,-5.957319003,-5.957319,-5.957318999,-5.957318999,-5.957319,-5.957319,-5.957319,-5.957319,-5.957319,-5.957319,-5.957319,-5.957319,-5.957319,-5.957319,-5.957319
MAR,LPG,1.0195,1.0785,1.1458,1.1953,1.1316,1.0573,1.0868,1.1163,1.2048,1.1256,1.1965,1.2627,1.4596,1.4113,1.5624,1.4242,1.3252,1.2472,1.26380007,1.53520007,1.4526,1.554,1.698,1.5479956,1.253860588,1.286301283,1.235007843,1.363851808,1.337403424,1.295284989,1.303569869,1.307023587,1.321426736,1.312941721,1.30804938,1.310602259,1.312008737,1.313005766,1.311321573,1.310997543,1.311587175,1.311784159,1.311739243,1.311485939,1.311518812,1.311623066,1.311630244,1.311599461,1.311571504,1.311588617,1.311602578,1.311598481,1.311592128,1.311590662,1.311594493,1.311595668,1.311594286,1.311593448,1.311593711,1.311594321,1.311594287,1.311594011,1.311593956,1.311594057,1.311594126,1.311594087,1.311594047,1.311594055,1.311594075,1.311594078,1.311594068,1.311594065,1.311594068,1.311594071,1.31159407,1.311594068,1.311594068,1.311594069,1.311594069,1.311594069,1.311594069,1.311594069,1.311594069,1.311594069,1.311594069,1.311594069,1.311594069,1.311594069,1.311594069,1.311594069,1.311594069
MAR,KRS,-0.1014,-0.0418,-0.0439,0,0,0.0458,0.0607,0.0575,0,0.1097,0,0,0.0906,0.0266,0,0,0,0,0.22900008,0.16510008,0.0362,0.0032,0.016,0.0618,0.1101,0.1005,0.0238,0.0885,0.07694,0.079968,0.0739416,0.06862992,0.077595904,0.075415085,0.075110102,0.074138522,0.074177907,0.075287504,0.074825824,0.074707972,0.074627546,0.07472535,0.074834839,0.074744306,0.074728003,0.074732009,0.074752901,0.074758412,0.074743126,0.07474289,0.074745868,0.074748639,0.074747787,0.074745662,0.074746169,0.074746825,0.074747016,0.074746692,0.074746473,0.074746635,0.074746728,0.074746709,0.074746647,0.074746638,0.074746672,0.074746679,0.074746669,0.074746661,0.074746664,0.074746669,0.074746668,0.074746666,0.074746666,0.074746667,0.074746667,0.074746667,0.074746666,0.074746667,0.074746667,0.074746667,0.074746667,0.074746667,0.074746667,0.074746667,0.074746667,0.074746667,0.074746667,0.074746667,0.074746667,0.074746667,0.074746667
MAR,OLQ,-3.157698,-3.354898,-3.566898,-3.308298,-3.376398,-3.762998,-4.062598,-4.648698,-4.512798,-4.424598,-4.722298,-5.204598,-4.816498,-4.811698,-3.425898,-4.260398,-3.822498,-4.033598,-3.73659793,-6.19639793,-9.999598,-9.160498,-8.278398,-8.220698,-10.806398,-10.776298,-10.617798,-10.759298,-10.236098,-10.639178,-10.605734,-10.5716212,-10.56238584,-10.52300341,-10.58038449,-10.56862579,-10.56120415,-10.55912073,-10.55846771,-10.56556057,-10.56259579,-10.56138979,-10.56142692,-10.56188816,-10.56257225,-10.56197458,-10.56185034,-10.56194245,-10.56204555,-10.56207703,-10.56197799,-10.56197867,-10.56200434,-10.56201672,-10.56201095,-10.56199774,-10.56200168,-10.56200629,-10.56200668,-10.56200467,-10.56200341,-10.56200454,-10.56200512,-10.56200488,-10.56200452,-10.5620045,-10.56200471,-10.56200475,-10.56200467,-10.56200463,-10.56200465,-10.56200468,-10.56200468,-10.56200466,-10.56200466,-10.56200467,-10.56200467,-10.56200467,-10.56200467,-10.56200467,-10.56200467,-10.56200467,-10.56200467,-10.56200467,-10.56200467,-10.56200467,-10.56200467,-10.56200467,-10.56200467,-10.56200467,-10.56200467
MAR,NGS,12.160802,13.020202,13.372302,14.110802,13.703602,14.272802,14.217302,15.165002,15.602002,16.613102,16.657802,17.127802,17.757502,19.527302,19.181602,20.532002,21.534702,22.343402,22.390702,23.76212199,23.279702,25.51212199,28.701102,29.69262199,32.111102,34.81692199,34.630002,36.12982199,33.47609399,34.23278839,34.65712567,34.62516641,34.62419929,34.32307475,34.49247091,34.54440741,34.52186375,34.50120322,34.47660401,34.50730986,34.51027765,34.5034517,34.49976929,34.4994825,34.5040582,34.50340787,34.50203391,34.50175035,34.50214657,34.50267938,34.50240362,34.50220277,34.50223654,34.50233377,34.50237121,34.50230958,34.50229077,34.50230838,34.50232274,34.50232054,34.5023104,34.50231057,34.50231452,34.50231575,34.50231436,34.50231312,34.50231366,34.50231428,34.50231424,34.50231393,34.50231385,34.50231399,34.50231406,34.50231401,34.50231397,34.50231398,34.502314,34.502314,34.50231399,34.50231399,34.50231399,34.502314,34.502314,34.50231399,34.50231399,34.50231399,34.50231399,34.50231399,34.50231399,34.50231399,34.50231399
MAR,OGS,0,0,0,0.002702,0.002602,0.002502,0.003302,0.002102,0.001802,0.001502,0.001402,0.001702,0.001902,0.001802,0.001702,0.001902,0.002002,0.002002,0.001802,0.002002,0.002202,0.00220203,0.00690203,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002
MAR,NUC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,HYD,0.01161,0.025198,0.017114,0.030358,0.014276,0.016598,0.01161,0.00645,0.01849,0.017458,0.004644,0.005934,0.004902,0.02279,0.021586,0.04773,0.018748,0.019436,0.024338,0.026316,0.014964,0.043172,0.053492,0.02838,0.021844,0.01247,0.018748,0.004816,0.0172516,0.01502592,0.013662304,0.013900765,0.012931318,0.014554381,0.014014938,0.013812741,0.013842829,0.013831241,0.014011226,0.013902595,0.013880126,0.013893603,0.013903758,0.013918262,0.013899669,0.013899084,0.013902875,0.01390473,0.013904924,0.013902256,0.013902774,0.013903512,0.013903639,0.013903421,0.01390312,0.013903293,0.013903397,0.013903374,0.013903321,0.013903301,0.013903337,0.013903346,0.013903336,0.013903328,0.01390333,0.013903336,0.013903335,0.013903333,0.013903332,0.013903333,0.013903334,0.013903333,0.013903333,0.013903333,0.013903333,0.013903333,0.013903333,0.013903333,0.013903333,0.013903333,0.013903333,0.013903333,0.013903333,0.013903333,0.013903333,0.013903333,0.013903333,0.013903333,0.013903333,0.013903333,0.013903333
MAR,STE,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001
MAR,BMSWAS,0.0105,0.0203,0.0224,0.0378,0.0378,0.0378,0.0378,0.0504,0.0536,0.0536,0.0536,0.0536,0.0721,0.0588,0.0588,0.0714,0.0645,0.0714,0.0466,0.0536,0.0518,0.0161,0.0156,0.0219,0.006,0.006,0.006,0.01,0.00998,0.007596,0.0079152,0.00829824,0.008757888,0.008509466,0.008215359,0.00833923,0.008424037,0.008449196,0.008387457,0.008363056,0.008392595,0.008403268,0.008399115,0.008389098,0.008389426,0.008394701,0.008395122,0.008393492,0.008392368,0.008393022,0.008393741,0.008393549,0.008393234,0.008393183,0.008393346,0.00839341,0.008393344,0.008393303,0.008393317,0.008393344,0.008393344,0.008393331,0.008393328,0.008393333,0.008393336,0.008393334,0.008393332,0.008393333,0.008393334,0.008393334,0.008393333,0.008393333,0.008393333,0.008393333,0.008393333,0.008393333,0.008393333,0.008393333,0.008393333,0.008393333,0.008393333,0.008393333,0.008393333,0.008393333,0.008393333,0.008393333,0.008393333,0.008393333,0.008393333,0.008393333,0.008393333
MAR,WND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001634,0.002494,0.000645,0.0009546,0.00114552,0.001374624,0.001322749,0.001088499,0.001177198,0.001221718,0.001236958,0.001209424,0.001186759,0.001206411,0.001212254,0.001210361,0.001205042,0.001204166,0.001207647,0.001207894,0.001207022,0.001206354,0.001206617,0.001207107,0.001206999,0.00120682,0.001206779,0.001206864,0.001206914,0.001206875,0.00120685,0.001206856,0.001206872,0.001206873,0.001206865,0.001206864,0.001206866,0.001206868,0.001206867,0.001206866,0.001206866,0.001206867,0.001206867,0.001206867,0.001206867,0.001206867,0.001206867,0.001206867,0.001206867,0.001206867,0.001206867,0.001206867,0.001206867,0.001206867,0.001206867,0.001206867,0.001206867,0.001206867,0.001206867,0.001206867,0.001206867,0.001206867,0.001206867,0.001206867,0.001206867,0.001206867
MAR,SOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004988,0.007482,0.049149,0.0123238,0.01478856,0.017746272,0.020297926,0.022861112,0.017603534,0.018659481,0.019433665,0.019771144,0.019665787,0.019026722,0.01931136,0.019441735,0.01944335,0.019377791,0.019320192,0.019378885,0.019392391,0.019382522,0.019370356,0.019368869,0.019378604,0.019378548,0.01937578,0.019374432,0.019375247,0.019376522,0.019376106,0.019375617,0.019375585,0.019375815,0.019375929,0.01937581,0.019375751,0.019375778,0.019375817,0.019375817,0.019375795,0.019375792,0.0193758,0.019375804,0.019375801,0.019375798,0.019375799,0.0193758,0.019375801,0.0193758,0.0193758,0.0193758,0.0193758,0.0193758,0.0193758,0.0193758,0.0193758,0.0193758,0.0193758,0.0193758,0.0193758,0.0193758,0.0193758,0.0193758,0.0193758,0.0193758
MAR,GEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,ELC,1.823365063,1.969565514,2.013158986,2.18991455,2.254118701,2.249566092,2.379787391,2.537402177,2.80279393,2.949818897,0.604929783,0.628588407,0.623722526,0.628036287,0.696018756,0.6724,0.8484,0.9004,0.9118,0.9472,1.0963,1.3608,1.4846,1.4902,1.6429,1.6659,1.6548,1.7184,1.63444,1.663288,1.6673656,1.66765872,1.670230464,1.660596557,1.665827868,1.666335842,1.66612989,1.665824124,1.664942856,1.665812116,1.665808966,1.66570359,1.665618331,1.665577172,1.665704035,1.665682419,1.665657109,1.665647813,1.66565371,1.665669017,1.665662014,1.665657932,1.665658097,1.665660154,1.665661443,1.665659928,1.665659511,1.665659827,1.665660172,1.665660176,1.665659923,1.665659922,1.665660004,1.665660039,1.665660013,1.66565998,1.665659992,1.665660006,1.665660006,1.665659999,1.665659997,1.66566,1.665660001,1.665660001,1.665659999,1.66566,1.66566,1.66566,1.66566,1.66566,1.66566,1.66566,1.66566,1.66566,1.66566,1.66566,1.66566,1.66566,1.66566,1.66566,1.66566
