dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
RAS,OGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,BMSWAS,0,0,0,0.0044,0.0068,0.018,0.0183,0.0187,0.019,0.0193,0.0197,0.0201,0.0205,0.0209,0.0213,0.0217,0.0221,0.0225,0.0229,0.0234,0.0238,0.0243,0.0249,0.0254,0.026,0.0265,0.0271,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276
RAS,ELC,0,0,0,0,0,0,0,0,0,0,0.0282,0.039,0.0825,0.0894,0.0751,0.0814,0.0479,0.07,0.0879,0.0961,0.1372,0.1444,0.0408,0.0396,0.0628,0.0642,0.0286,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298
MAR,LGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,HCL,0,0,0,0,0,0,0,0,0,0.024,0.0357,0.0228,0.0228,0.0228,0.0203,0.0154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,CRO,19.9288,18.4607,20.4125,20.1808,18.1336,17.4071,14.6111,12.7183,11.1618,13.1948,10.0493,4.9296,4.8758,4.8118,0.9774,2.0879,1.8318,1.4976,5.0546,5.524,9.589,10.1519,9.6825,11.94,12.3556,12.5974,11.5743,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474,9.7474
MAR,GSL,0,0,0.2568,0.321,0,0,0,0,0,0,0,0.8753,0.0567,0.887,0.0096,0.8367,0.3991,0.3745,0,0,0,0,0,0,0,0.1637,0.2097,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137
MAR,GDO,0,0.0831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,RFO,0.8262,1.491,1.8167,2.0879,3.5585,2.7216,2.5466,1.945,1.4318,1.214,1.2539,2.2891,2.1355,1.9936,1.2753,1.3336,1.1742,1.7389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,KRS,0,0,0,0.4083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3041,0.2987,0.3149,0.0695,0.0391,0.0608,0.063,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645
MAR,OLQ,1.6499,1.8447,1.9269,1.926,2.7269,2.8385,2.8516,3.3596,3.5225,3.2926,2.7644,3.5588,4.9346,4.8601,4.6242,3.7562,3.9342,3.8762,3.9102,3.0136,3.4134,2.5565,2.0113,1.9073,1.6399,2.2464,1.3785,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406,1.3406
MAR,NGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0092,12.6409,13.5804,13.5559,14.4528,14.9645,10.5954,7.0261,5.0642,1.6941,0.2653,0.2105,1.1259,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493,1.9493
MAR,OGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,BMSWAS,0,0,0,0.0044,0.0068,0.018,0.0183,0.0187,0.019,0.0193,0.0197,0.0201,0.0205,0.0209,0.0213,0.0217,0.0221,0.0225,0.0229,0.0234,0.0238,0.0243,0.0249,0.0254,0.026,0.0265,0.0271,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276
MAR,ELC,0,0,0,0,0,0,0,0,0,0,0.0282,0.039,0.0825,0.0894,0.0751,0.0814,0.0479,0.07,0.0879,0.0961,0.1372,0.1444,0.0408,0.0396,0.0628,0.0642,0.0286,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298
