dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
RAS,SE,LGN,0.998732095,1.003490295,1.009810511,1.012023011,1.010556493,1.008009822,1.004065718,0.999693963,0.995633966,0.993079172,0.991745017,0.991064642,0.99075937,0.99073708,0.991154956,0.992533094,0.992971909,0.99302549,0.992969783,0.993067787,0.993645118,0.993759898,0.993705678,0.993595215,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961
RAS,SE,HCL,0.998732095,1.003490296,1.009810511,1.012023011,1.010556493,1.008009822,1.004065718,0.999693963,0.995633966,0.993079172,0.991745017,0.991064642,0.990759371,0.99073708,0.991154956,0.992533094,0.992971909,0.99302549,0.992969783,0.993067787,0.993645118,0.993759898,0.993705677,0.993595215,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961
RAS,SE,GSL,0.998732095,1.003490295,1.009810511,1.012023011,1.010556493,1.008009822,1.004065718,0.999693963,0.995633966,0.993079172,0.991745017,0.991064642,0.99075937,0.99073708,0.991154956,0.992533094,0.992971909,0.99302549,0.992969783,0.993067787,0.993645118,0.993759898,0.993705678,0.993595215,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961
RAS,SE,GDO,0.998731945,1.003490172,1.009810414,1.012022941,1.010556449,1.008009792,1.004065696,0.999693947,0.995633947,0.993079146,0.991744998,0.991064636,0.990759371,0.990737084,0.991154956,0.992533083,0.992971909,0.99302549,0.992969786,0.993067781,0.993645119,0.993759903,0.993705683,0.99359522,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965,0.993506965
RAS,SE,RFO,0.998681197,1.003388499,1.009556021,1.011361337,1.008825961,1.005383406,0.999975362,0.9949686,0.99151497,0.99039968,0.990721542,0.99067371,0.990610047,0.990680044,0.99113317,0.992524772,0.992968731,0.993024275,0.992969319,0.99306761,0.99364505,0.993759873,0.993705668,0.993595211,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959,0.993506959
RAS,SE,LPG,0.998732095,1.003490296,1.009810512,1.012023011,1.010556493,1.008009822,1.004065718,0.999693963,0.995633966,0.993079172,0.991745017,0.991064643,0.990759371,0.99073708,0.991154956,0.992533094,0.992971909,0.993025489,0.992969782,0.993067786,0.993645118,0.993759898,0.993705677,0.993595216,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962,0.993506962
RAS,SE,KRS,0.998732095,1.003490295,1.009810511,1.012023011,1.010556493,1.008009822,1.004065718,0.999693963,0.995633966,0.993079172,0.991745017,0.991064642,0.99075937,0.99073708,0.991154956,0.992533094,0.992971909,0.99302549,0.992969783,0.993067787,0.993645118,0.993759898,0.993705678,0.993595215,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961
RAS,SE,OLQ,0.996866375,1.001665973,1.008061864,1.010374351,1.009026981,1.006614435,1.002803126,0.998558721,0.99461968,0.99217924,0.990952226,0.990370245,0.990154457,0.990213141,0.990704124,0.992148161,0.992646059,0.992752633,0.992744518,0.992885291,0.993500999,0.993649938,0.993625583,0.993539801,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067,0.993468067
RAS,SE,NGS,0.998732109,1.003490322,1.009810531,1.012023019,1.010556484,1.008009817,1.004065717,0.999693971,0.995633975,0.993079162,0.991744987,0.99106462,0.990759366,0.990737087,0.991154967,0.992533104,0.992971914,0.993025491,0.992969782,0.993067784,0.993645115,0.993759895,0.993705675,0.993595213,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696,0.99350696
RAS,SE,OGS,0.971865713,0.977244316,0.984722746,0.988510461,0.988948074,0.988522899,0.986642954,0.984196529,0.981907617,0.98097424,0.981116066,0.981770215,0.982667092,0.983726278,0.985117385,0.98737174,0.988596298,0.989355438,0.989934536,0.990604342,0.991696092,0.992270023,0.992618421,0.992841673,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405,0.992977405
*RAS,SE,STE1CL,0.998732089,1.003490294,1.00981051,1.012023011,1.010556493,1.008009822,1.004065718,0.999693963,0.995633966,0.993079172,0.991745017,0.991064642,0.99075937,0.99073708,0.991154956,0.992533094,0.992971909,0.99302549,0.992969783,0.993067787,0.993645118,0.993759898,0.993705678,0.993595215,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961
*RAS,SE,STE1CH,0.998732089,1.003490294,1.00981051,1.012023011,1.010556493,1.008009822,1.004065718,0.999693963,0.995633966,0.993079172,0.991745017,0.991064642,0.99075937,0.99073708,0.991154956,0.992533094,0.992971909,0.99302549,0.992969783,0.993067787,0.993645118,0.993759898,0.993705678,0.993595215,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961
*RAS,SE,STE1CD,0.998732089,1.003490294,1.00981051,1.012023011,1.010556493,1.008009822,1.004065718,0.999693963,0.995633966,0.993079172,0.991745017,0.991064642,0.99075937,0.99073708,0.991154956,0.992533094,0.992971909,0.99302549,0.992969783,0.993067787,0.993645118,0.993759898,0.993705678,0.993595215,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961
*RAS,SE,STE1CR,0.998732089,1.003490294,1.00981051,1.012023011,1.010556493,1.008009822,1.004065718,0.999693963,0.995633966,0.993079172,0.991745017,0.991064642,0.99075937,0.99073708,0.991154956,0.992533094,0.992971909,0.99302549,0.992969783,0.993067787,0.993645118,0.993759898,0.993705678,0.993595215,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961
*RAS,SE,STE1CG,0.998732089,1.003490294,1.00981051,1.012023011,1.010556493,1.008009822,1.004065718,0.999693963,0.995633966,0.993079172,0.991745017,0.991064642,0.99075937,0.99073708,0.991154956,0.992533094,0.992971909,0.99302549,0.992969783,0.993067787,0.993645118,0.993759898,0.993705678,0.993595215,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961
*RAS,SE,STE1CB,0.998732089,1.003490294,1.00981051,1.012023011,1.010556493,1.008009822,1.004065718,0.999693963,0.995633966,0.993079172,0.991745017,0.991064642,0.99075937,0.99073708,0.991154956,0.992533094,0.992971909,0.99302549,0.992969783,0.993067787,0.993645118,0.993759898,0.993705678,0.993595215,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961
RAS,SE,STE1AL,0.998732089,1.003490294,1.00981051,1.012023011,1.010556493,1.008009822,1.004065718,0.999693963,0.995633966,0.993079172,0.991745017,0.991064642,0.99075937,0.99073708,0.991154956,0.992533094,0.992971909,0.99302549,0.992969783,0.993067787,0.993645118,0.993759898,0.993705678,0.993595215,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961
RAS,SE,STE1AH,0.998732089,1.003490294,1.00981051,1.012023011,1.010556493,1.008009822,1.004065718,0.999693963,0.995633966,0.993079172,0.991745017,0.991064642,0.99075937,0.99073708,0.991154956,0.992533094,0.992971909,0.99302549,0.992969783,0.993067787,0.993645118,0.993759898,0.993705678,0.993595215,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961
RAS,SE,STE1AD,0.998732089,1.003490294,1.00981051,1.012023011,1.010556493,1.008009822,1.004065718,0.999693963,0.995633966,0.993079172,0.991745017,0.991064642,0.99075937,0.99073708,0.991154956,0.992533094,0.992971909,0.99302549,0.992969783,0.993067787,0.993645118,0.993759898,0.993705678,0.993595215,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961
RAS,SE,STE1AR,0.998732089,1.003490294,1.00981051,1.012023011,1.010556493,1.008009822,1.004065718,0.999693963,0.995633966,0.993079172,0.991745017,0.991064642,0.99075937,0.99073708,0.991154956,0.992533094,0.992971909,0.99302549,0.992969783,0.993067787,0.993645118,0.993759898,0.993705678,0.993595215,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961
RAS,SE,STE1AG,0.998732089,1.003490294,1.00981051,1.012023011,1.010556493,1.008009822,1.004065718,0.999693963,0.995633966,0.993079172,0.991745017,0.991064642,0.99075937,0.99073708,0.991154956,0.992533094,0.992971909,0.99302549,0.992969783,0.993067787,0.993645118,0.993759898,0.993705678,0.993595215,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961
RAS,SE,STE1AB,0.998732089,1.003490294,1.00981051,1.012023011,1.010556493,1.008009822,1.004065718,0.999693963,0.995633966,0.993079172,0.991745017,0.991064642,0.99075937,0.99073708,0.991154956,0.992533094,0.992971909,0.99302549,0.992969783,0.993067787,0.993645118,0.993759898,0.993705678,0.993595215,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961
RAS,SE,STE1AH2F,0.998732089,1.003490294,1.00981051,1.012023011,1.010556493,1.008009822,1.004065718,0.999693963,0.995633966,0.993079172,0.991745017,0.991064642,0.99075937,0.99073708,0.991154956,0.992533094,0.992971909,0.99302549,0.992969783,0.993067787,0.993645118,0.993759898,0.993705678,0.993595215,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961
RAS,SE,STE2LGN,0.998732089,1.003490294,1.00981051,1.012023011,1.010556493,1.008009822,1.004065718,0.999693963,0.995633966,0.993079172,0.991745017,0.991064642,0.99075937,0.99073708,0.991154956,0.992533094,0.992971909,0.99302549,0.992969783,0.993067787,0.993645118,0.993759898,0.993705678,0.993595215,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961,0.993506961
